x y time dx dy dt dr^2 TotalDisplacementSquared
11
24.969696969697 41 0 0 0 0 0 0
25.5 41 0.164 0.530303030303031 0 0.164 0.281221303948578 0.281221303948578
26.0278481012658 41 0.491 0.527848101265821 0 0.327 0.278623618009933 1.11968381724044
27 41 0.655 0.972151898734179 0 0.164 0.945079314212469 4.12213039485767
27 41 0.819 0 0 0.164 0 4.12213039485767
27 40.5 0.983 0 -0.5 0.164 0.25 4.37213039485767
27 40.5 1.146 0 0 0.163 0 4.37213039485767
26.2464285714286 40.2446428571429 1.31 -0.75357142857143 -0.255357142857143 0.164 0.633077168367349 2.20060799612545
25.2963752665245 40.5703624733476 1.474 -0.950053304904049 0.325719616204694 0.164 1.00869455053964 0.291307113926184
27 41 1.638 1.70362473347548 0.429637526652449 0.164 3.08692563681743 4.12213039485767
25 40 1.802 -2 -1 0.164 5 1.00091827364555
11
121.337438423645 188.669950738916 0 0 0 0 0 0
121 188 0.164 -0.337438423645324 -0.669950738916242 0.164 0.56269868232666 0.56269868232666
121 188 0.327 0 0 0.163 0 0.56269868232666
121 188 0.491 0 0 0.164 0 0.56269868232666
121 188 0.655 0 0 0.164 0 0.56269868232666
121 188 0.819 0 0 0.164 0 0.56269868232666
121 188 0.983 0 0 0.164 0 0.56269868232666
121 188 1.31 0 0 0.327 0 0.56269868232666
121 188 1.474 0 0 0.164 0 0.56269868232666
121 188 1.638 0 0 0.164 0 0.56269868232666
121 188 1.802 0 0 0.164 0 0.56269868232666
14
122 115 0 0 0 0 0 0
122 115 0.164 0 0 0.164 0 0
122 115 0.327 0 0 0.163 0 0
122 115 0.491 0 0 0.164 0 0
122 115 0.655 0 0 0.164 0 0
122 115 0.819 0 0 0.164 0 0
122 115 0.983 0 0 0.164 0 0
120 115 1.31 -2 0 0.327 4 4
120 115 1.474 0 0 0.164 0 4
120 115 1.638 0 0 0.164 0 4
120 115 1.802 0 0 0.164 0 4
118 114 1.965 -2 -1 0.163 5 17
118 114 2.129 0 0 0.164 0 17
118 114 2.293 0 0 0.164 0 17
15
129 106 0 0 0 0 0 0
129 109 0.164 0 3 0.164 9 9
129 109 0.327 0 0 0.163 0 9
129 109 0.491 0 0 0.164 0 9
129 109 0.655 0 0 0.164 0 9
129 109 0.819 0 0 0.164 0 9
129 109 0.983 0 0 0.164 0 9
129 109 1.146 0 0 0.163 0 9
129 109 1.31 0 0 0.164 0 9
129 108.505791505792 1.474 0 -0.494208494208493 0.164 0.244242035747826 6.27899107049687
129 108.503846153846 1.638 0 -0.00194535194535206 0.164 3.78439419128504E-06 6.26924556213018
129 108.505791505792 1.802 0 0.00194535194535206 0.164 3.78439419128504E-06 6.27899107049687
129 108.507692307692 1.965 0 0.00190080190080266 0.163 3.61304786609501E-06 6.28852071005918
129.329048843188 108.339331619537 2.129 0.32904884318765 -0.168360688155033 0.164 0.136618462519167 5.58074556737003
130 108 2.293 0.67095115681235 -0.339331619537276 0.164 0.565321402845622 5
12
151 146.496268656716 0 0 0 0 0 0
151 146.5 0.164 0 0.00373134328359015 0.164 1.39229226999933E-05 1.39229226999933E-05
151 146.5 0.328 0 0 0.164 0 1.39229226999933E-05
151 146.496296296296 0.492 0 -0.00370370370370665 0.164 1.37174211248504E-05 7.63946376136284E-10
151 146 0.656 0 -0.496296296296293 0.164 0.246310013717418 0.24628257963911
